MeterId,ProductName,SKU,Region,Location,Price,Currency,ServiceFamily,Unit,EffectiveDate,Type
388b7c7c-47de-517d-8e16-2f11f7564e5c,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E104id_v5,koreacentral,KR Central,14.747,USD,Databases,1 Hour,2022-07-01T00:00:00Z,Consumption
388d9313-66dc-530a-8ae5-4365c07ccf9a,Az DB for MySQL Flexible Server Storage,Storage GP Accelerated Logs,uksouth,UK South,0.06424,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
ebf1d735-4bc6-5f10-b553-62b05ff008e0,Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute,vCore,ukwest,UK West,0.1299,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
ebf1d735-4bc6-5f10-b553-62b05ff008e0,Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute,vCore,ukwest,UK West,683.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
ebf1d735-4bc6-5f10-b553-62b05ff008e0,Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute,vCore,ukwest,UK West,1366.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
38dbcc51-da98-461b-a1f1-db19e476516c,Azure Database for MySQL Single Server Memory Optimized - Compute Gen5,1 vCore,usgovvirginia,US Gov Virginia,0.147625,USD,Databases,1 Hour,2018-03-28T00:00:00Z,Consumption
ad60c157-efca-5acc-9c50-9067e6f4f8f1,Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute,vCore,westus2,US West 2,0.0855,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
ad60c157-efca-5acc-9c50-9067e6f4f8f1,Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute,vCore,westus2,US West 2,449.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
ad60c157-efca-5acc-9c50-9067e6f4f8f1,Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute,vCore,westus2,US West 2,899.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
38ef4f29-1f9d-5951-baf2-29e68c002bd2,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E96d_v5,malaysiawest,MY West,12.2517,USD,Databases,1 Hour,2025-04-01T00:00:00Z,Consumption
38f8868c-24ff-57e7-b525-2fb34e53823b,Azure Database for MySQL Flexible Server Memory Optimized Eadsv5 Series Compute,1 vCore,indonesiacentral,ID Central,0.12762,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
390e5037-2cc6-440e-ad92-62ddab292389,Azure Database for MySQL Single Server Basic - Compute Gen5,2 vCore,usgovarizona,US Gov AZ,0.085,USD,Databases,1 Hour,2018-03-28T00:00:00Z,Consumption
bfb3cf81-95dc-522d-b762-c93da8b65dc0,Azure Database for MySQL Flexible Server General Purpose Ddsv4 Series Compute,32 vCore,indonesiacentral,ID Central,3.384,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
392c2e85-c3e3-587c-a817-d39905cf9673,Azure Database for MySQL Flexible Server Burstable BS Series Compute,Basic,canadacentral,CA Central,0.00935,USD,Databases,1 Hour,2025-03-01T00:00:00Z,Consumption
c79dd7ba-c34f-5339-8164-b1ff26da4527,Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute,vCore,southeastasia,AP Southeast,0.1175,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
c79dd7ba-c34f-5339-8164-b1ff26da4527,Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute,vCore,southeastasia,AP Southeast,618.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
c79dd7ba-c34f-5339-8164-b1ff26da4527,Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute,vCore,southeastasia,AP Southeast,1235.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
393b7980-b5ac-5156-91d2-b2ea2bfb38fb,Azure Database for MySQL Single Server Memory Optimized - Compute Gen5,1 vCore,malaysiawest,MY West,0.12762,USD,Databases,1 Hour,2025-04-01T00:00:00Z,Consumption
393bd497-cf7a-52af-82f2-7c792d99a86c,Azure Database for MySQL Flexible Server Burstable BS Series Compute,Standard_B16ms,eastus2,US East 2,1.088,USD,Databases,1 Hour,2022-05-01T00:00:00Z,Consumption
3949ba98-10a1-5f16-acaa-44676530022b,Azure Database for MySQL General Purpose - Large-Scale Storage,General Purpose,malaysiawest,MY West,0.0621,USD,Databases,1 GB/Month,2025-04-01T00:00:00Z,Consumption
39568210-1215-42c8-b52f-ecc08be24c98,Azure Database for MySQL Single Server - Backup Storage,Backup GRS,switzerlandnorth,CH North,0.2618,USD,Databases,1 GB/Month,2021-10-01T00:00:00Z,Consumption
395fb243-02b9-4e18-be97-68508a5ceb48,Azure Database for MySQL Single Server Basic - Storage,Basic,uaecentral,AE Central,0.156,USD,Databases,1 GB/Month,2019-02-01T00:00:00Z,Consumption
397b2f91-de36-5d5f-ab1d-0736533f13a2,Az DB for MySQL Flexible Server Storage,Storage,Global,Global,0.0,USD,Databases,1 GB/Month,2021-05-01T00:00:00Z,Consumption
397cc34c-b496-5bec-9f39-4fba9aebc62a,Azure Database for MySQL Flexible Server Memory Optimized Eadsv5 Series Compute,1 vCore,japanwest,JA West,0.1425,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
39898efe-eb79-513c-b739-15df918adacd,Az DB for MySQL Flexible Server Storage,PMD LRS,francecentral,FR Central,75.0,USD,Databases,1 GB/Month,2023-03-01T00:00:00Z,Consumption
398cfeec-816d-4d7d-aacc-9ccd212d1336,Azure Database for MySQL Single Server Basic - Compute Gen5,2 vCore,uaenorth,AE North,0.0816,USD,Databases,1 Hour,2019-02-01T00:00:00Z,Consumption
399cf478-9e4a-5a78-a404-905e554629bd,Azure Database for MySQL Flexible Server General Purpose Ddsv6 Series Compute,1 vCore,eastus2,US East 2,0.0855,USD,Databases,1 Hour,2025-08-01T00:00:00Z,Consumption
39a1eb01-669d-51be-83fe-e433199f2061,Azure Database for MySQL Flexible Server Burstable BS Series Compute,B1MS,ukwest,UK West,0.019,USD,Databases,1 Hour,2021-12-01T00:00:00Z,Consumption
39b4b110-ee06-40ce-b0af-9386f14ac290,Azure Database for MySQL Single Server Basic - Storage,Basic,centralindia,IN Central,0.11,USD,Databases,1 GB/Month,2018-03-20T00:00:00Z,Consumption
39bcc19e-dd2d-5ec9-be3c-d18efdba850f,Az DB for MySQL Flexible Server Storage,Storage GP Accelerated Logs,australiaeast,AU East,0.07452,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
39eaab5b-6562-524a-9d60-9f2df3baa573,Azure Database for MySQL Flexible Server Burstable BS Series Compute,Standard_B2ms2,westus3,US West 3,0.136,USD,Databases,1 Hour,2022-08-01T00:00:00Z,Consumption
172d79b7-2211-5015-9727-091e9784acb9,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,vCore,uksouth,UK South,0.1299,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Consumption
